Invalid log information
error | 2023-11-07 12:58:34 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
error | 2023-11-07 13:00:42 | Este es un mensaje de error
fatal | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
error | 2023-11-07 13:00:57 | Este es un mensaje de error
fatal | 2023-11-07 13:01:07 | Este es un mensaje de error
error | 2023-11-07 13:01:07 | Este es un mensaje de error
error | 2023-11-07 13:01:07 | Este es un mensaje de error
error | 2023-11-07 13:01:07 | Este es un mensaje de error
error | 2023-11-07 13:01:07 | Este es un mensaje de error
error | 2023-11-07 13:01:07 | Este es un mensaje de error
fatal | 2023-11-07 13:13:41 | This's a FATAL message
error | 2023-11-07 13:13:41 | This's a ERROR message
error | 2023-11-07 13:13:58 | This's a ERROR message
fatal | 2023-11-07 13:13:58 | This's a FATAL message
error | 2023-11-07 13:14:04 | This's a ERROR message
fatal | 2023-11-07 13:14:04 | This's a FATAL message
fatal | 2023-11-07 13:14:28 | This's a FATAL message
error | 2023-11-07 13:14:28 | This's a ERROR message
fatal | 2023-11-07 13:18:52 | This's a FATAL message
error | 2023-11-07 13:18:52 | This's a ERROR message
fatal | 2023-11-08 09:10:10 | This's a FATAL message
error | 2023-11-08 09:10:10 | This's a ERROR message
fatal | 2023-11-08 09:14:35 | This's a FATAL message
error | 2023-11-08 09:14:35 | This's a ERROR message
fatal | 2023-11-08 09:15:36 | This's a FATAL message
error | 2023-11-08 09:15:36 | This's a ERROR message
fatal | 2023-11-08 09:18:35 | This's a FATAL message
error | 2023-11-08 09:18:35 | This's a ERROR message
fatal | 2023-11-08 09:20:15 | This's a FATAL message
error | 2023-11-08 09:20:15 | This's a ERROR message
fatal | 2023-11-08 09:21:17 | This's a FATAL message
error | 2023-11-08 09:21:17 | This's a ERROR message
fatal | 2023-11-08 09:21:52 | This's a FATAL message
error | 2023-11-08 09:21:52 | This's a ERROR message
fatal | 2023-11-08 09:24:06 | This's a FATAL message
error | 2023-11-08 09:24:06 | This's a ERROR message
fatal | 2023-11-08 09:32:24 | This's a FATAL message
error | 2023-11-08 09:32:24 | This's a ERROR message
fatal | 2023-11-08 09:33:19 | This's a FATAL message
error | 2023-11-08 09:33:19 | This's a ERROR message
fatal | 2023-11-08 09:34:03 | This's a FATAL message
error | 2023-11-08 09:34:03 | This's a ERROR message
fatal | 2023-11-08 09:37:57 | This's a FATAL message
error | 2023-11-08 09:37:57 | This's a ERROR message
fatal | 2023-11-08 09:38:23 | This's a FATAL message
error | 2023-11-08 09:38:23 | This's a ERROR message
fatal | 2023-11-08 09:38:54 | This's a FATAL message
error | 2023-11-08 09:38:54 | This's a ERROR message
fatal | 2023-11-08 11:27:10 | This's a FATAL message
fatal | 2023-11-08 11:28:57 | This's a FATAL message
fatal | 2023-11-08 11:29:10 | This's a FATAL message
fatal | 2023-11-08 11:29:15 | This's a FATAL message
fatal | 2023-11-08 11:29:55 | This's a FATAL message
error | 2023-11-08 11:29:55 | This's a ERROR message
fatal | 2023-11-08 11:30:18 | This's a FATAL message
fatal | 2023-11-08 11:30:21 | This's a FATAL message
error | 2023-11-08 11:30:21 | This's a ERROR message
fatal | 2023-11-08 13:59:01 | This's a FATAL message
error | 2023-11-08 13:59:01 | This's a ERROR message
fatal | 2023-11-08 14:01:25 | This's a FATAL message
error | 2023-11-08 14:01:25 | This's a ERROR message
fatal | 2023-11-08 14:09:02 | This's a FATAL message
error | 2023-11-08 14:09:02 | This's a ERROR message
fatal | 2023-11-08 20:17:35 | This's a FATAL message
error | 2023-11-08 20:17:35 | This's a ERROR message
fatal | 2023-11-08 20:19:24 | This's a FATAL message
error | 2023-11-08 20:19:24 | This's a ERROR message
fatal | 2023-11-08 20:20:00 | This's a FATAL message
error | 2023-11-08 20:20:00 | This's a ERROR message
fatal | 2023-11-08 20:20:13 | This's a FATAL message
error | 2023-11-08 20:20:13 | This's a ERROR message
fatal | 2023-11-08 20:26:18 | This's a FATAL message
error | 2023-11-08 20:26:18 | This's a ERROR message
fatal | 2023-11-08 21:39:00 | This's a FATAL message
error | 2023-11-08 21:39:00 | This's a ERROR message
fatal | 2023-11-08 21:48:56 | This's a FATAL message
error | 2023-11-08 21:48:56 | This's a ERROR message
